Date,Open,High,Low,Close,Adj Close,Volume
2023-08-24,72.150002,72.610001,71.430000,71.730003,71.730003,369863558
2023-08-25,71.660004,72.080002,71.080002,71.279999,71.279999,32486657
2023-08-29,72.239998,73.019997,72.010002,72.690002,72.690002,117317969
2023-08-30,73.089996,73.550003,72.879997,73.279999,73.279999,39942113
2023-08-31,73.500000,74.089996,73.199997,73.209999,73.209999,96389587
2023-09-01,73.599998,74.169998,73.250000,73.599998,73.599998,27133996
2023-09-04,73.709999,73.800003,72.449997,72.449997,72.449997,49685383
2023-09-05,72.250000,74.050003,72.000000,73.449997,73.449997,47009762
2023-09-06,73.739998,73.940002,72.769997,73.360001,73.360001,43730457
2023-09-07,72.989998,73.980003,72.699997,73.919998,73.919998,36579675
2023-09-08,73.529999,73.809998,72.900002,73.220001,73.220001,168278902
2023-09-11,73.260002,75.129997,73.230003,75.129997,75.129997,44403130
2023-09-12,75.930000,77.720001,75.440002,77.379997,77.379997,942323193
2023-09-13,77.620003,79.543999,77.389999,78.830002,78.830002,97151571
2023-09-14,79.309998,80.403000,78.870003,79.940002,79.940002,111778503
2023-09-15,80.389999,80.660004,79.360001,79.809998,79.809998,183227964
2023-09-18,79.180000,79.989998,79.080002,79.430000,79.430000,74089299
2023-09-19,79.610001,80.269997,79.564003,80.070000,80.070000,29181169
2023-09-20,80.680000,81.839996,80.339996,81.519997,81.519997,8967205
